State;East-West;The first most important problem;The second most important problem;Party;Gender;Age;Reasearch Year
Berlin-East;East;Unemployment/jobs;Environmental protection;SPD;Male;35-39;1998
Mecklenburg-Vorpommern;East;German unit: problems/financing;No response;No response;Male;60-69;1998
Brandemburg;East;Unemployment/jobs;No response;No response;Male;60-69;1998
Brandemburg;East;Unemployment/jobs;Taxes/tax increases;SPD;Female;45-49;1998
Brandemburg;East;Unemployment/jobs;Foreigners;FDP;Male;45-49;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;No response;Grünen;Male;40-44;1998
Sachsen;East;Unemployment/jobs;Disenchantment with political parties and politics/politics in general/political affairs;FDP;Male;35-39;1998
Berlin-East;East;Unemployment/jobs;Taxes/tax increases;CDU/CSU;Female;35-39;1998
Brandemburg;East;Unemployment/jobs;Family/children/youth;SPD;Female;45-49;1998
Sachsen-Anhalt;East;Unemployment/jobs;Economic recovery/situation;Grünen;Female;50-59;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;Right-wing radicals/right-wing extremists;SPD;Female;30-34;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;Taxes/tax increases;CDU/CSU;Male;30-34;1998
Sachsen;East;Unemployment/jobs;Environmental protection;SPD;Female;30-34;1998
Sachsen;East;Unemployment/jobs;Family/children/youth;SPD;Female;50-59;1998
Sachsen;East;Morals/values;Economic recovery/situation;PDS;Female;30-34;1998
Brandemburg;East;Unemployment/jobs;Peace and order/crime;CDU/CSU;Male;50-59;1998
Sachsen;East;Peace and order/crime;Traffic problems/road construction;CDU/CSU;Male;60-69;1998
Brandemburg;East;Unemployment/jobs;Pensions/old people/old-age security;No response;Male;25-29;1998
Berlin-East;East;Unemployment/jobs;Family/children/youth;No response;Female;35-39;1998
Thüringen;East;Unemployment/jobs;Disenchantment with political parties and politics/politics in general/political affairs;PDS;Male;25-29;1998
Brandemburg;East;Unemployment/jobs;Disenchantment with political parties and politics/politics in general/political affairs;SPD;Male;30-34;1998
Thüringen;East;Unemployment/jobs;No response;SPD;Male;40-44;1998
Sachsen-Anhalt;East;Unemployment/jobs;Peace and order/crime;SPD;Female;50-59;1998
Sachsen-Anhalt;East;Foreigners;Unemployment/jobs;PDS;Male;35-39;1998
Sachsen-Anhalt;East;Unemployment/jobs;Family/children/youth;CDU/CSU;Female;70+;1998
Thüringen;East;No response;No response;CDU/CSU;Male;70+;1998
Brandemburg;East;Unemployment/jobs;Peace and order/crime;PDS;Female;50-59;1998
Sachsen;East;Unemployment/jobs;No response;SPD;Female;70+;1998
Sachsen;East;Unemployment/jobs;Right-wing radicals/right-wing extremists;CDU/CSU;Female;40-44;1998
Sachsen-Anhalt;East;Unemployment/jobs;Peace and order/crime;SPD;Female;50-59;1998
Sachsen;East;Unemployment/jobs;Foreigners;CDU/CSU;Male;21-24;1998
Brandemburg;East;Unemployment/jobs;Cost of living/inflation/prices;No response;Male;50-59;1998
Sachsen;East;Unemployment/jobs;No response;Republikaner;Male;30-34;1998
Sachsen-Anhalt;East;Unemployment/jobs;Cutbacks of social benefits;SPD;Male;50-59;1998
Thüringen;East;Unemployment/jobs;Pensions/old people/old-age security;CDU/CSU;Male;50-59;1998
Sachsen-Anhalt;East;Unemployment/jobs;No response;No response;Male;60-69;1998
Sachsen-Anhalt;East;Unemployment/jobs;No response;PDS;Female;40-44;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;No response;PDS;Female;60-69;1998
Sachsen-Anhalt;East;Unemployment/jobs;No response;CDU/CSU;Male;70+;1998
Thüringen;East;Unemployment/jobs;No response;No response;Female;21-24;1998
Sachsen;East;Unemployment/jobs;Peace and order/crime;No response;Male;70+;1998
Brandemburg;East;Unemployment/jobs;Peace and order/crime;PDS;Female;40-44;1998
Thüringen;East;Unemployment/jobs;Peace and order/crime;SPD;Female;50-59;1998
Sachsen;East;Unemployment/jobs;Health care/long-term care insurance;CDU/CSU;Female;50-59;1998
Sachsen;East;Unemployment/jobs;Health care/long-term care insurance;No response;Female;70+;1998
Sachsen;East;Unemployment/jobs;Right-wing radicals/right-wing extremists;PDS;Male;30-34;1998
Sachsen;East;Unemployment/jobs;Pensions/old people/old-age security;SPD;Female;30-34;1998
Brandemburg;East;Unemployment/jobs;Rents/housing market;No response;Female;21-24;1998
Brandemburg;East;Social gap between rich and poor;No response;No response;Female;35-39;1998
Brandemburg;East;Unemployment/jobs;Pensions/old people/old-age security;No response;Male;70+;1998
Sachsen;East;Unemployment/jobs;Pensions/old people/old-age security;CDU/CSU;Female;30-34;1998
Sachsen;East;Disenchantment with political parties and politics/politics in general/political affairs;Unemployment/jobs;No response;Female;35-39;1998
Brandemburg;East;Unemployment/jobs;No response;No response;Female;25-29;1998
Thüringen;East;Unemployment/jobs;No response;SPD;Female;25-29;1998
Thüringen;East;Unemployment/jobs;Economic recovery/situation;CDU/CSU;Male;40-44;1998
Sachsen-Anhalt;East;German unit: problems/financing;Unemployment/jobs;No response;Female;70+;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;Peace and order/crime;No response;Female;50-59;1998
Thüringen;East;Unemployment/jobs;Wages/working time regulations;SPD;Male;60-69;1998
Brandemburg;East;Unemployment/jobs;No response;SPD;Male;40-44;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;Pensions/old people/old-age security;SPD;Male;50-59;1998
Sachsen;East;Unemployment/jobs;Foreigners;Another party;Female;25-29;1998
Sachsen;East;Unemployment/jobs;National debt;SPD;Female;25-29;1998
Sachsen;East;Unemployment/jobs;Health care/long-term care insurance;No response;Female;60-69;1998
Mecklenburg-Vorpommern;East;Peace and order/crime;Unemployment/jobs;No response;Female;60-69;1998
Sachsen;East;Unemployment/jobs;Economic recovery/situation;PDS;Female;50-59;1998
Berlin-East;East;Unemployment/jobs;Peace and order/crime;No response;Female;35-39;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;Social gap between rich and poor;SPD;Male;35-39;1998
Sachsen;East;Unemployment/jobs;Peace and order/crime;Grünen;Male;35-39;1998
Brandemburg;East;Unemployment/jobs;Health care/long-term care insurance;CDU/CSU;Female;60-69;1998
Thüringen;East;Unemployment/jobs;No response;No response;Male;45-49;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;Disenchantment with political parties and politics/politics in general/political affairs;PDS;Female;60-69;1998
Berlin-East;East;Unemployment/jobs;Cost of living/inflation/prices;SPD;Female;40-44;1998
Sachsen;East;Unemployment/jobs;Foreigners;Grünen;Female;45-49;1998
Sachsen;East;Disenchantment with political parties and politics/politics in general/political affairs;No response;No response;Male;70+;1998
Sachsen;East;Unemployment/jobs;No response;SPD;Female;70+;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;Economic recovery/situation;SPD;Female;45-49;1998
Sachsen;East;Unemployment/jobs;No response;Grünen;Male;50-59;1998
Sachsen-Anhalt;East;Unemployment/jobs;Morals/values;CDU/CSU;Female;70+;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;No response;SPD;Female;60-69;1998
Brandemburg;East;Unemployment/jobs;No response;No response;Male;50-59;1998
Brandemburg;East;Unemployment/jobs;Social gap between rich and poor;SPD;Female;30-34;1998
Sachsen-Anhalt;East;Unemployment/jobs;Pensions/old people/old-age security;SPD;Female;60-69;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;Right-wing radicals/right-wing extremists;PDS;Male;30-34;1998
Sachsen-Anhalt;East;Unemployment/jobs;No response;No response;Male;45-49;1998
Brandemburg;East;Unemployment/jobs;No response;No response;Male;40-44;1998
Sachsen-Anhalt;East;Unemployment/jobs;No response;SPD;Female;70+;1998
Sachsen-Anhalt;East;Unemployment/jobs;Peace and order/crime;No response;Female;60-69;1998
Sachsen;East;Unemployment/jobs;No response;FDP;Male;50-59;1998
Brandemburg;East;Unemployment/jobs;Economic recovery/situation;SPD;Male;50-59;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;Peace and order/crime;PDS;Male;45-49;1998
Sachsen;East;Unemployment/jobs;Foreigners;PDS;Female;40-44;1998
Berlin-East;East;Unemployment/jobs;No response;CDU/CSU;Male;30-34;1998
Brandemburg;East;Unemployment/jobs;No response;SPD;Female;50-59;1998
Sachsen;East;Unemployment/jobs;Family/children/youth;SPD;Female;50-59;1998
Sachsen-Anhalt;East;Unemployment/jobs;No response;Grünen;Male;25-29;1998
Berlin-East;East;Unemployment/jobs;Morals/values;PDS;Male;50-59;1998
Berlin-East;East;Morals/values;Unemployment/jobs;SPD;Female;70+;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;Foreigners;SPD;Female;25-29;1998
Sachsen;East;Pensions/old people/old-age security;No response;CDU/CSU;Male;60-69;1998
Sachsen-Anhalt;East;Unemployment/jobs;Right-wing radicals/right-wing extremists;No response;Female;50-59;1998
Berlin-East;East;Unemployment/jobs;Cutbacks of social benefits;PDS;Female;30-34;1998
Sachsen;East;Unemployment/jobs;Pensions/old people/old-age security;No response;Female;60-69;1998
Sachsen-Anhalt;East;Unemployment/jobs;Disenchantment with political parties and politics/politics in general/political affairs;PDS;Male;35-39;1998
Sachsen-Anhalt;East;Health care/long-term care insurance;No response;FDP;Female;60-69;1998
Mecklenburg-Vorpommern;East;Peace and order/crime;Unemployment/jobs;PDS;Female;50-59;1998
Sachsen-Anhalt;East;Unemployment/jobs;No response;PDS;Male;18-20;1998
Sachsen;East;Unemployment/jobs;Family/children/youth;SPD;Male;30-34;1998
Sachsen;East;Unemployment/jobs;No response;PDS;Male;40-44;1998
Sachsen;East;Unemployment/jobs;No response;CDU/CSU;Male;70+;1998
Thüringen;East;Unemployment/jobs;Pensions/old people/old-age security;CDU/CSU;Female;25-29;1998
Thüringen;East;Unemployment/jobs;Taxes/tax increases;PDS;Female;30-34;1998
Sachsen;East;Unemployment/jobs;Taxes/tax increases;No response;Male;70+;1998
Sachsen;East;Social gap between rich and poor;Unemployment/jobs;PDS;Female;30-34;1998
Sachsen-Anhalt;East;Unemployment/jobs;Peace and order/crime;No response;Male;60-69;1998
Sachsen;East;Unemployment/jobs;Family/children/youth;PDS;Female;50-59;1998
Brandemburg;East;Unemployment/jobs;No response;SPD;Female;25-29;1998
Sachsen;East;Unemployment/jobs;Cutbacks of social benefits;SPD;Female;35-39;1998
Brandemburg;East;Unemployment/jobs;Peace/détente (East-West);CDU/CSU;Female;50-59;1998
Sachsen;East;No response;No response;Grünen;Male;30-34;1998
Brandemburg;East;Unemployment/jobs;No response;SPD;Male;50-59;1998
Mecklenburg-Vorpommern;East;Economic gap between East Germany and West Germany;Unemployment/jobs;CDU/CSU;Male;25-29;1998
Brandemburg;East;Unemployment/jobs;Social gap between rich and poor;SPD;Female;35-39;1998
Sachsen-Anhalt;East;Unemployment/jobs;Foreigners;Another party;Female;30-34;1998
Brandemburg;East;Unemployment/jobs;No response;No response;Female;60-69;1998
Brandemburg;East;Unemployment/jobs;Family/children/youth;CDU/CSU;Female;30-34;1998
Berlin-East;East;Unemployment/jobs;Peace and order/crime;PDS;Male;70+;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;Disenchantment with political parties and politics/politics in general/political affairs;Grünen;Male;30-34;1998
Thüringen;East;Disenchantment with political parties and politics/politics in general/political affairs;No response;CDU/CSU;Male;50-59;1998
Berlin-East;East;Unemployment/jobs;No response;No response;Male;45-49;1998
Sachsen;East;Unemployment/jobs;No response;SPD;Male;40-44;1998
Berlin-East;East;Unemployment/jobs;Foreigners;SPD;Male;50-59;1998
Thüringen;East;Unemployment/jobs;Foreigners;DVU;Male;40-44;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;German unit: problems/financing;No response;Female;50-59;1998
Thüringen;East;Unemployment/jobs;Pensions/old people/old-age security;Grünen;Male;18-20;1998
Berlin-East;East;Wages/working time regulations;Right-wing radicals/right-wing extremists;CDU/CSU;Male;40-44;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;Peace and order/crime;No response;Male;60-69;1998
Sachsen;East;Unemployment/jobs;Health care/long-term care insurance;Grünen;Female;50-59;1998
Sachsen-Anhalt;East;Unemployment/jobs;No response;No response;Female;30-34;1998
Sachsen-Anhalt;East;Unemployment/jobs;Economic recovery/situation;SPD;Male;25-29;1998
Berlin-East;East;Unemployment/jobs;Economic recovery/situation;PDS;Female;60-69;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;Peace and order/crime;SPD;Male;70+;1998
Sachsen;East;Unemployment/jobs;Social gap between rich and poor;CDU/CSU;Female;45-49;1998
Sachsen-Anhalt;East;Unemployment/jobs;Right-wing radicals/right-wing extremists;Grünen;Male;45-49;1998
Mecklenburg-Vorpommern;East;Disenchantment with political parties and politics/politics in general/political affairs;Unemployment/jobs;FDP;Female;21-24;1998
Sachsen-Anhalt;East;No response;No response;No response;Female;45-49;1998
Brandemburg;East;Unemployment/jobs;No response;CDU/CSU;Male;70+;1998
Thüringen;East;Unemployment/jobs;German unit: problems/financing;SPD;Male;45-49;1998
Thüringen;East;Unemployment/jobs;Disenchantment with political parties and politics/politics in general/political affairs;PDS;Female;30-34;1998
Brandemburg;East;Unemployment/jobs;Environmental protection;CDU/CSU;Male;60-69;1998
Sachsen;East;Unemployment/jobs;No response;CDU/CSU;Male;45-49;1998
Brandemburg;East;Disenchantment with political parties and politics/politics in general/political affairs;No response;CDU/CSU;Female;60-69;1998
Berlin-East;East;Unemployment/jobs;No response;PDS;Female;40-44;1998
Thüringen;East;Unemployment/jobs;Family/children/youth;PDS;Female;60-69;1998
Thüringen;East;Unemployment/jobs;Pensions/old people/old-age security;No response;Male;40-44;1998
Sachsen;East;Unemployment/jobs;Pensions/old people/old-age security;SPD;Female;30-34;1998
Thüringen;East;Unemployment/jobs;No response;SPD;Female;35-39;1998
Sachsen;East;Unemployment/jobs;Pensions/old people/old-age security;CDU/CSU;Male;30-34;1998
Berlin-East;East;Unemployment/jobs;Cutbacks of social benefits;SPD;Female;40-44;1998
Sachsen;East;Unemployment/jobs;Family/children/youth;Grünen;Female;30-34;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;Peace and order/crime;No response;Male;50-59;1998
Sachsen-Anhalt;East;Unemployment/jobs;Peace and order/crime;No response;Male;70+;1998
Sachsen;East;Unemployment/jobs;Taxes/tax increases;SPD;Male;45-49;1998
Thüringen;East;Unemployment/jobs;Pensions/old people/old-age security;No response;Male;60-69;1998
Sachsen-Anhalt;East;Peace/détente (East-West);Unemployment/jobs;SPD;Male;60-69;1998
Thüringen;East;Unemployment/jobs;Peace and order/crime;CDU/CSU;Female;50-59;1998
Sachsen;East;Unemployment/jobs;No response;SPD;Female;50-59;1998
Sachsen;East;Unemployment/jobs;Unemployment/jobs;No response;Male;60-69;1998
Sachsen;East;Unemployment/jobs;Family/children/youth;PDS;Female;30-34;1998
Thüringen;East;Unemployment/jobs;Cutbacks of social benefits;PDS;Male;70+;1998
Sachsen;East;EU/Europe/Euro;Unemployment/jobs;CDU/CSU;Female;60-69;1998
Brandemburg;East;Unemployment/jobs;Economic recovery/situation;SPD;Female;40-44;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;Cutbacks of social benefits;PDS;Female;30-34;1998
Sachsen-Anhalt;East;Unemployment/jobs;Family/children/youth;CDU/CSU;Female;25-29;1998
Sachsen-Anhalt;East;Unemployment/jobs;Unemployment/jobs;SPD;Female;60-69;1998
Berlin-East;East;Unemployment/jobs;Taxes/tax increases;SPD;Male;35-39;1998
Sachsen;East;Unemployment/jobs;Foreigners;No response;Female;60-69;1998
Thüringen;East;Unemployment/jobs;Morals/values;SPD;Female;40-44;1998
Brandemburg;East;Unemployment/jobs;Environmental protection;SPD;Male;30-34;1998
Berlin-East;East;Unemployment/jobs;Cutbacks of social benefits;SPD;Female;50-59;1998
Brandemburg;East;Unemployment/jobs;No response;SPD;Male;50-59;1998
Sachsen-Anhalt;East;Unemployment/jobs;No response;CDU/CSU;Male;60-69;1998
Sachsen;East;Disenchantment with political parties and politics/politics in general/political affairs;Unemployment/jobs;PDS;Male;70+;1998
Thüringen;East;Unemployment/jobs;Morals/values;SPD;Male;50-59;1998
Mecklenburg-Vorpommern;East;Peace and order/crime;German unit: problems/financing;CDU/CSU;Male;60-69;1998
Sachsen;East;Unemployment/jobs;Social gap between rich and poor;CDU/CSU;Female;45-49;1998
Sachsen;East;Unemployment/jobs;No response;No response;Female;30-34;1998
Thüringen;East;Disenchantment with political parties and politics/politics in general/political affairs;Economic gap between East Germany and West Germany;PDS;Male;40-44;1998
Sachsen;East;Disenchantment with political parties and politics/politics in general/political affairs;Unemployment/jobs;No response;Female;60-69;1998
Brandemburg;East;Unemployment/jobs;Family/children/youth;PDS;Female;35-39;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;No response;CDU/CSU;Male;60-69;1998
Berlin-East;East;Unemployment/jobs;No response;No response;Female;50-59;1998
Sachsen;East;Unemployment/jobs;Cutbacks of social benefits;PDS;Female;50-59;1998
Sachsen;East;Unemployment/jobs;Economic recovery/situation;SPD;Male;45-49;1998
Brandemburg;East;Unemployment/jobs;No response;SPD;Male;40-44;1998
Thüringen;East;Unemployment/jobs;No response;PDS;Male;50-59;1998
Berlin-East;East;Unemployment/jobs;Pensions/old people/old-age security;PDS;Female;21-24;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;Right-wing radicals/right-wing extremists;CDU/CSU;Male;30-34;1998
Berlin-East;East;Unemployment/jobs;Right-wing radicals/right-wing extremists;PDS;Female;30-34;1998
Sachsen;East;Unemployment/jobs;Peace and order/crime;SPD;Male;40-44;1998
Thüringen;East;Unemployment/jobs;Taxes/tax increases;SPD;Female;35-39;1998
Sachsen;East;Unemployment/jobs;No response;CDU/CSU;Male;40-44;1998
Sachsen-Anhalt;East;Unemployment/jobs;Peace and order/crime;CDU/CSU;Male;70+;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;Cutbacks of social benefits;PDS;Male;35-39;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;Taxes/tax increases;SPD;Male;40-44;1998
Sachsen;East;Unemployment/jobs;Foreigners;SPD;Male;60-69;1998
Thüringen;East;Unemployment/jobs;Foreigners;SPD;Female;30-34;1998
Sachsen;East;Unemployment/jobs;Peace and order/crime;CDU/CSU;Female;35-39;1998
Sachsen-Anhalt;East;Unemployment/jobs;No response;SPD;Female;50-59;1998
Brandemburg;East;Unemployment/jobs;Environmental protection;SPD;Male;30-34;1998
Brandemburg;East;Unemployment/jobs;No response;No response;Male;21-24;1998
Brandemburg;East;Unemployment/jobs;Environmental protection;No response;Male;60-69;1998
Sachsen-Anhalt;East;Unemployment/jobs;Family/children/youth;No response;Female;35-39;1998
Brandemburg;East;Unemployment/jobs;Foreigners;SPD;Male;18-20;1998
Brandemburg;East;Unemployment/jobs;Peace and order/crime;SPD;Female;70+;1998
Sachsen;East;Unemployment/jobs;Peace and order/crime;PDS;Male;18-20;1998
Sachsen-Anhalt;East;Unemployment/jobs;Peace and order/crime;No response;Male;18-20;1998
Sachsen;East;Unemployment/jobs;Health care/long-term care insurance;No response;Female;45-49;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;No response;CDU/CSU;Male;30-34;1998
Sachsen-Anhalt;East;Unemployment/jobs;Peace and order/crime;No response;Female;50-59;1998
Sachsen-Anhalt;East;Unemployment/jobs;Cost of living/inflation/prices;SPD;Male;70+;1998
Brandemburg;East;Unemployment/jobs;Peace and order/crime;SPD;Male;40-44;1998
Thüringen;East;Unemployment/jobs;No response;Grünen;Female;50-59;1998
Thüringen;East;Unemployment/jobs;No response;No response;Male;45-49;1998
Sachsen;East;Unemployment/jobs;No response;SPD;Female;30-34;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;Social gap between rich and poor;PDS;Male;35-39;1998
Sachsen;East;National debt;Unemployment/jobs;PDS;Male;18-20;1998
Thüringen;East;Unemployment/jobs;No response;No response;Male;30-34;1998
Berlin-East;East;Unemployment/jobs;Peace and order/crime;SPD;Male;30-34;1998
Thüringen;East;Unemployment/jobs;No response;No response;Female;35-39;1998
Thüringen;East;Unemployment/jobs;Cost of living/inflation/prices;CDU/CSU;Female;30-34;1998
Sachsen-Anhalt;East;Unemployment/jobs;Peace and order/crime;No response;Male;35-39;1998
Berlin-East;East;Student protests/education;Unemployment/jobs;No response;Male;18-20;1998
Sachsen;East;Economic recovery/situation;Unemployment/jobs;SPD;Male;30-34;1998
Brandemburg;East;Unemployment/jobs;Disenchantment with political parties and politics/politics in general/political affairs;SPD;Male;45-49;1998
Sachsen-Anhalt;East;Unemployment/jobs;Cost of living/inflation/prices;SPD;Female;25-29;1998
Brandemburg;East;Unemployment/jobs;Right-wing radicals/right-wing extremists;SPD;Female;45-49;1998
Sachsen;East;Unemployment/jobs;Peace and order/crime;SPD;Female;45-49;1998
Brandemburg;East;Unemployment/jobs;Economic recovery/situation;Grünen;Male;25-29;1998
Brandemburg;East;Unemployment/jobs;Health care/long-term care insurance;SPD;Female;45-49;1998
Thüringen;East;Unemployment/jobs;Family/children/youth;No response;Female;35-39;1998
Berlin-East;East;Unemployment/jobs;No response;PDS;Female;25-29;1998
Sachsen;East;Unemployment/jobs;Peace/détente (East-West);FDP;Female;60-69;1998
Sachsen-Anhalt;East;Unemployment/jobs;Peace and order/crime;SPD;Female;70+;1998
Thüringen;East;Unemployment/jobs;Peace and order/crime;SPD;Male;35-39;1998
Sachsen;East;Unemployment/jobs;Other problems;CDU/CSU;Male;21-24;1998
Berlin-East;East;Unemployment/jobs;Disenchantment with political parties and politics/politics in general/political affairs;SPD;Female;70+;1998
Sachsen-Anhalt;East;Unemployment/jobs;Asylum seekers/asylum seekers;No response;Female;30-34;1998
Thüringen;East;Unemployment/jobs;Economic recovery/situation;CDU/CSU;Male;50-59;1998
Sachsen;East;Pensions/old people/old-age security;Unemployment/jobs;SPD;Female;50-59;1998
Sachsen;East;Unemployment/jobs;Foreigners;SPD;Female;30-34;1998
Berlin-East;East;Unemployment/jobs;Peace and order/crime;SPD;Female;50-59;1998
Sachsen-Anhalt;East;Unemployment/jobs;Pensions/old people/old-age security;SPD;Female;60-69;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;No response;PDS;Female;45-49;1998
Brandemburg;East;Unemployment/jobs;Wages/working time regulations;CDU/CSU;Male;50-59;1998
Sachsen-Anhalt;East;Unemployment/jobs;Pensions/old people/old-age security;SPD;Male;35-39;1998
Sachsen-Anhalt;East;Unemployment/jobs;Peace and order/crime;SPD;Male;30-34;1998
Brandemburg;East;Unemployment/jobs;No response;SPD;Male;35-39;1998
Sachsen;East;Unemployment/jobs;Cutbacks of social benefits;DVU;Female;30-34;1998
Brandemburg;East;Unemployment/jobs;Taxes/tax increases;SPD;Male;35-39;1998
Sachsen;East;Unemployment/jobs;Wages/working time regulations;Grünen;Male;30-34;1998
Sachsen-Anhalt;East;Unemployment/jobs;Morals/values;No response;Male;60-69;1998
Sachsen-Anhalt;East;Unemployment/jobs;Cutbacks of social benefits;PDS;Male;50-59;1998
Brandemburg;East;Unemployment/jobs;No response;SPD;Male;35-39;1998
Thüringen;East;Unemployment/jobs;Right-wing radicals/right-wing extremists;PDS;Male;35-39;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;No response;No response;Male;50-59;1998
Thüringen;East;Unemployment/jobs;Disenchantment with political parties and politics/politics in general/political affairs;PDS;Male;21-24;1998
Sachsen;East;Unemployment/jobs;Disenchantment with political parties and politics/politics in general/political affairs;No response;Male;50-59;1998
Brandemburg;East;Unemployment/jobs;No response;No response;Female;35-39;1998
Berlin-East;East;Disenchantment with political parties and politics/politics in general/political affairs;Disenchantment with political parties and politics/politics in general/political affairs;No response;Male;60-69;1998
Thüringen;East;Health care/long-term care insurance;No response;No response;Female;70+;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;Peace and order/crime;CDU/CSU;Male;60-69;1998
Sachsen;East;Unemployment/jobs;Taxes/tax increases;SPD;Male;50-59;1998
Brandemburg;East;Unemployment/jobs;Family/children/youth;SPD;Female;25-29;1998
Thüringen;East;Unemployment/jobs;Environmental protection;CDU/CSU;Female;50-59;1998
Sachsen;East;Unemployment/jobs;Environmental protection;SPD;Male;21-24;1998
Sachsen;East;Unemployment/jobs;Taxes/tax increases;CDU/CSU;Male;30-34;1998
Thüringen;East;Unemployment/jobs;No response;SPD;Female;60-69;1998
Thüringen;East;Pensions/old people/old-age security;No response;No response;Female;70+;1998
Berlin-East;East;Unemployment/jobs;Peace and order/crime;Grünen;Female;40-44;1998
Thüringen;East;Unemployment/jobs;No response;PDS;Male;50-59;1998
Sachsen-Anhalt;East;No response;No response;No response;Female;50-59;1998
Sachsen;East;Unemployment/jobs;No response;FDP;Female;70+;1998
Sachsen;East;Unemployment/jobs;No response;CDU/CSU;Female;35-39;1998
Thüringen;East;Disenchantment with political parties and politics/politics in general/political affairs;No response;No response;Male;25-29;1998
Sachsen-Anhalt;East;Family/children/youth;Student protests/education;PDS;Female;30-34;1998
Mecklenburg-Vorpommern;East;Other problems;No response;No response;Male;60-69;1998
Sachsen-Anhalt;East;Unemployment/jobs;Foreigners;SPD;Male;45-49;1998
Sachsen;East;Unemployment/jobs;Social gap between rich and poor;No response;Female;50-59;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;No response;CDU/CSU;Female;60-69;1998
Thüringen;East;Unemployment/jobs;Foreigners;CDU/CSU;Male;25-29;1998
Sachsen-Anhalt;East;Unemployment/jobs;Peace and order/crime;FDP;Male;35-39;1998
Thüringen;East;Unemployment/jobs;Peace and order/crime;CDU/CSU;Female;60-69;1998
Brandemburg;East;EU/Europe/Euro;Foreigners;SPD;Male;21-24;1998
Brandemburg;East;Unemployment/jobs;Disenchantment with political parties and politics/politics in general/political affairs;PDS;Male;60-69;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;No response;CDU/CSU;Male;40-44;1998
Thüringen;East;Unemployment/jobs;No response;No response;Male;30-34;1998
Brandemburg;East;Unemployment/jobs;Social gap between rich and poor;CDU/CSU;Male;35-39;1998
Thüringen;East;Unemployment/jobs;Family/children/youth;CDU/CSU;Female;45-49;1998
Sachsen;East;Unemployment/jobs;Family/children/youth;No response;Female;60-69;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;Right-wing radicals/right-wing extremists;PDS;Male;30-34;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;Cutbacks of social benefits;CDU/CSU;Male;35-39;1998
Sachsen;East;Unemployment/jobs;Family/children/youth;No response;Female;70+;1998
Brandemburg;East;Unemployment/jobs;Foreigners;SPD;Male;50-59;1998
Sachsen-Anhalt;East;Unemployment/jobs;No response;No response;Female;35-39;1998
Thüringen;East;Unemployment/jobs;No response;SPD;Male;18-20;1998
Mecklenburg-Vorpommern;East;Health care/long-term care insurance;Unemployment/jobs;SPD;Female;50-59;1998
Thüringen;East;Unemployment/jobs;No response;SPD;Female;60-69;1998
Brandemburg;East;Unemployment/jobs;Disenchantment with political parties and politics/politics in general/political affairs;No response;Male;25-29;1998
Sachsen-Anhalt;East;Unemployment/jobs;No response;SPD;Female;60-69;1998
Sachsen;East;Unemployment/jobs;Peace and order/crime;CDU/CSU;Female;60-69;1998
Berlin-East;East;Unemployment/jobs;Social gap between rich and poor;SPD;Female;50-59;1998
Brandemburg;East;Unemployment/jobs;No response;SPD;Male;30-34;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;Peace and order/crime;CDU/CSU;Male;40-44;1998
Mecklenburg-Vorpommern;East;Unemployment/jobs;Morals/values;SPD;Female;60-69;1998
Thüringen;East;Unemployment/jobs;Right-wing radicals/right-wing extremists;PDS;Female;30-34;1998
Sachsen-Anhalt;East;Unemployment/jobs;Peace and order/crime;FDP;Female;21-24;1998
Sachsen;East;Unemployment/jobs;No response;No response;Male;50-59;1998
